Designator,Footprint,Quantity,Value,LCSC Part #
AS5048A1,TSSOP-14_4.4x5mm_P0.65mm,1,AS5048A,
C1,0603,1,470n,
"C2, C3",0603,2,22u,
"CCP1, CESP32, CINA1, CINA2, CMAG1, CVCP1",0603,6,0.1u,
CDRV1,CP_EIA-7343-31_Kemet-D,1,100u,
"D1, D2",0603,2,LED,
ESP32,ESP32-WROOM-32UE,1,ESP32-WROOM-32,
IC1,SOP65P640X120-29N,1,DRV8313PWPR,
"J1, J2",PinHeader_1x04_P2.00mm_Vertical_SMD_aligned,2,Conn_01x04_Pin,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"M1, M2, M3",TestPoint_Pad_2.0x2.0mm,3,Conn_01x01,
"R1, R2",0603,2,330,
"R3, RBOOT1, REN1, RRST1",0603,4,10k,
"RS1, RS2",1206,2,50m,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
SWRST1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,
"U2, U3",SOT-23-5,2,INA180A2,
