Designator,Mid X,Mid Y,Rotation,Layer
AS5048A1,0.0,0.0,0.0,bottom
C1,5.77,13.29,90.0,top
C2,3.19,-9.065,270.0,bottom
C3,5.45,-12.122776,0.0,bottom
CCP1,8.59,0.06,135.0,bottom
CDRV1,-2.34,12.0425,90.0,bottom
CESP32,10.83,-10.365,270.0,top
CINA1,-12.83,7.405,90.0,bottom
CINA2,-12.83,-7.745,90.0,bottom
CMAG1,-4.64,0.54,90.0,bottom
CVCP1,5.49,1.016,45.0,bottom
D1,1.89,10.75,180.0,top
D2,-2.45,10.75,180.0,top
ESP32,0.0,-4.0,180.0,top
IC1,6.85,7.1,135.0,bottom
J1,0.0,-16.15,270.0,top
J2,0.0,-16.15,270.0,bottom
J3,-6.75,13.875,0.0,top
R1,1.1025,13.27,90.0,top
R2,-2.409997,12.660006,0.0,top
R3,3.9405,13.3,90.0,top
RBOOT1,8.54,-2.74,180.0,bottom
REN1,9.64,11.14,225.0,bottom
RRST1,10.83,-6.87,270.0,top
RS1,-9.73,-4.0,0.0,bottom
RS2,-9.73,4.0,0.0,bottom
SW1,12.815,-1.29,270.0,bottom
SWRST1,12.54,-1.37,90.0,top
U1,5.51,-9.900276,90.0,bottom
U2,-9.5,-7.92,0.0,bottom
U3,-9.73,7.23,0.0,bottom
